word,sentiment,score,dimension,notes
overlast,neutral,0,coercion,abuse of power
konfiskere,positive,1,coercion,to confiscate
skat,positive,1,financial,tax
afgift,positive,1,financial,duty
landgilde,negative,-2,financial,land rent paid by tenant farmers
told,positive,1,financial,customs duty
toldere,positive,2,financial,toll collectors
tiende,positive,1,financial,tithe
restancer,negative,-2,financial,arrears
gæld,negative,-1,financial,debt
rente,neutral,0,financial,interest
oppebørsel,neutral,0,financial,collection of revenue
laan,neutral,0,financial,loan
pengemangel,negative,-1,financial,lack of money
skatterestance,negative,-2,financial,tax arrears
betale,positive,1,financial,to pay
indbetale,positive,1,financial,to pay in
dom,neutral,0,justice,judgement
lov,positive,1,justice,law
ret,positive,1,justice,right
retfærdighed,positive,0,justice,justice
rettergang,positive,1,justice,legal proceedings
proces,neutral,0,justice,lawsuit
stævne,neutral,0,justice,to summon
klage,neutral,0,justice,complaint
uret,negative,-2,justice,injustice
beklage,negative,-1,justice,to complain
appel,neutral,0,justice,appeal
sandemænd,neutral,0,justice,jury of sworn men
naade,positive,1,governance,grace
naadig,positive,1,governance,gracious
gunst,neutral,0,governance,favour
begunstige,positive,1,governance,to favour
hjælp,positive,1,governance,help
behjælpelig,positive,1,governance,helpful
forskaansel,positive,1,governance,indulgence
fornøjelig,positive,1,governance,satisfactory
gavnlig,positive,1,governance,beneficial
velfærd,neutral,0,governance,welfare
skade,negative,-1,governance,harm
vilkaarlighed,negative,-2,governance,arbitrariness
undertrykkelse,positive,1,governance,oppression
tyranni,negative,-2,governance,tyranny
uorden,negative,-1,governance,disorder
forsømmelse,negative,-1,governance,neglect
efterladenhed,negative,-1,governance,negligence
svig,negative,-2,governance,fraud
bedrageri,negative,-2,governance,fraud
krigsfolk,positive,1,authority,soldiers
orlogsskib,positive,1,authority,warship
fæstning,positive,1,authority,fortress
slot,positive,1,authority,castle
besætning,positive,1,authority,garrison
rytter,positive,1,authority,cavalry
soldat,positive,1,authority,soldier
præst,neutral,0,administration,priest
kirke,neutral,0,administration,church
kloster,neutral,0,administration,monastery/convent (often royal property)
biskop,negative,-2,administration,bishop
reformation,neutral,0,administration,Reformation
konsumption,positive,1,financial,consumption
accise,positive,1,financial,excise duty
stï¿½nderforsamling,negative,-2,decentralization,estates meeting
landkommissï¿½r,negative,-2,decentralization,land commissioner
